MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours
103381,2013,Tacoa Highwall Miner,Alabama,Bibb,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007", ,Appalachia Southern,56004,10,22392
103404,2013,Reid School Mine,Alabama,Blount,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Taft Coal Sales & Associates,","3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",UNIT,Appalachia Southern,28807,18,28447
100759,2013,North River #1 Underground Min,Alabama,Fayette,"Active, men working, not producing",Underground,Independent Producer Operator,Mine and Preparation Plant,Jim Walter Resources Inc,"3114 County Rd 63 S, Berry, AL 35546",UNIT,Appalachia Southern,1440115,183,474784
103246,2013,Bear Creek,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242", ,Appalachia Southern,87587,13,29193
103451,2013,Knight Mine,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","P.O. Box 354, Lynn, AL 35242", ,Appalachia Southern,147499,27,46393
103433,2013,Crane Central Mine,Alabama,Jackson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Alabama Carbon Llc,"5957 Windswept Blvd, Wise, VA 24293", ,Appalachia Southern,69339,27,47195
100329,2013,Concord Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Preparation Plant,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",UNIT,Appalachia Southern,0,59,144002
100851,2013,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",UNIT,Appalachia Southern,2269014,447,1001809
102901,2013,Shoal Creek Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,Appalachia Southern,0,5,12396
102901,2013,Shoal Creek Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,Appalachia Southern,1453024,571,1237415
103180,2013,Sloan Mountain Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180", ,Appalachia Southern,327780,84,196963
103182,2013,Fishtrap,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,C&h Mining,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,175058,30,87314
103285,2013,Narley Mine,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,Best Coal Inc,"2600 Warrior Jasper Rd, Warrior, AL 35180", ,Appalachia Southern,154861,39,90584
103332,2013,Powhatan Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Rac Mining Llc,"P.O. Box 354, Lynn, AL 35575", ,Appalachia Southern,140521,27,61394
103375,2013,Johnson Mine,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490", ,Appalachia Southern,580,2,1900
103419,2013,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Warrior Investments Company In,"218 Highway 195, Jasper, AL 35503", ,Appalachia Southern,125824,43,107469
103432,2013,Skelton Creek,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Kennedy Brothers Construction,","17160 Lock 17 Rd, Brookwood, AL 35444", ,Appalachia Southern,8252,3,220
103437,2013,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,145924,27,70926
102976,2013,Piney Woods Preparation Plant,Alabama,Shelby,Active,Surface,Independent Producer Operator,Preparation Plant,"Jesse Creek Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007", ,Appalachia Southern,0,5,14828
102976,2013,Piney Woods Preparation Plant,Alabama,Shelby,Active,Underground,Independent Producer Operator,Preparation Plant,"Jesse Creek Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007", ,Appalachia Southern,0,9,23193
103380,2013,Calera,Alabama,Shelby,Active,Surface,Independent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"13101 Telecom Dr #101, Tampa, FL 33637", ,Appalachia Southern,0,6,12621
103380,2013,Calera,Alabama,Shelby,Active,Underground,Independent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"13101 Telecom Dr #101, Tampa, FL 33637", ,Appalachia Southern,0,1,1402
103422,2013,Clark No 1 Mine,Alabama,Shelby,Active,Underground,Independent Producer Operator,Mine only,Jesse Creek Mining Llc,"1615 Kent Dairy Road, Alabaster, AL 35117", ,Appalachia Southern,122727,61,140250
103467,2013,Helena Surface Mine,Alabama,Shelby,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining,","1615 Kent Diary Rd, Alabaster, AL 35007", ,Appalachia Southern,59664,16,30539
101247,2013,No 4 Mine,Alabama,Tuscaloosa,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P.O. Box 133, Brookwood, AL 35444",UNIT,Appalachia Southern,2622528,643,1551141
101401,2013,No 7 Mine,Alabama,Tuscaloosa,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P.O. Box 133, Brookwood, AL 35444",UNIT,Appalachia Southern,5405412,989,2464719
103172,2013,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453", ,Appalachia Southern,258078,54,119542
103179,2013,Fleetwood Mine No 1,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,75937,22,63745
103303,2013,Shannon Mine,Alabama,Tuscaloosa,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,"Shannon, Llc","120 N Walston Bridge Rd Bldg 2, Jasper, AL 35504", ,Appalachia Southern,317491,155,164388
103323,2013,Deerlick Mine,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Cahaba Resources, Llc","P.O. Box 122, Vance, AL 35490", ,Appalachia Southern,133452,24,46381
103364,2013,Brc Alabama No. 7 Llc,Alabama,Tuscaloosa,Active,Underground,Independent Producer Operator,Preparation Plant,Brc Alabama No. 7 Llc,"P.O. Box 157, Brookwood, AL 35444", ,Appalachia Southern,0,12,14324
103436,2013,Swann's Crossing,Alabama,Tuscaloosa,Temporarily closed,Surface,Operating Subsidiary,Mine only,"Tuscaloosa Resources, Inc.","3000 Riverchase Galleria, Suit, Birmingham, AL 35244",UNIT,Appalachia Southern,137511,38,77190
100347,2013,Choctaw Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",UNIT,Appalachia Southern,537429,82,215295
101362,2013,Manchester Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,219457,41,116914
102996,2013,Jap Creek Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Pkwy, Jasper, AL 35501", ,Appalachia Southern,375715,61,164093
103155,2013,Corinth Prep Plant,Alabama,Walker,Active,Surface,Independent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503", ,Appalachia Southern,0,12,27996
103155,2013,Corinth Prep Plant,Alabama,Walker,Active,Underground,Independent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503", ,Appalachia Southern,0,22,51994
103195,2013,Mccollum/Sparks Branch Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,"Quality Coal, Inc.","17405 Hwy 69 S, Jasper, AL 35501", ,Appalachia Southern,71910,10,17411
103342,2013,Reese's Branch Mine,Alabama,Walker,Active,Surface,Contractor,Mine only,"Cedar Lake Mining, Inc","2600 Warrior Jasper Road, Warrior, AL 35180", ,Appalachia Southern,263888,56,115123
103370,2013,Cresent Valley Mine,Alabama,Walker,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Reed Minerals, Inc","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,2860,1,621
103372,2013,Cane Creek Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,Cane Creek Llc,"P.O. Box 1253, Cullman, AL 35056", ,Appalachia Southern,66258,13,32401
103376,2013,Town Creek,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,299167,60,176499
103389,2013,Carbon Hill Mine,Alabama,Walker,Active,Underground,Independent Producer Operator,Mine only,Prospect Mining And Developmen,"218 Hwy 195, Jasper, AL 35503", ,Appalachia Southern,76241,37,84966
103410,2013,Coal Valley Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,"Xinergy Of Alabama, Inc.","2600 Warrior Jasper Rd, Warrior, AL 35180", ,Appalachia Southern,407841,59,158591
103423,2013,Dutton Hill Mine,Alabama,Walker,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Quality Coal Company, Inc.","17405 Hwy 69 S, Jasper, AL 35501", ,Appalachia Southern,37275,5,9162
1519322,2013,Ghm #25,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,Green Hill Mining Inc,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,25054,2,3108
103321,2013,Poplar Springs,Alabama,Winston,Active,Surface,Independent Producer Operator,Mine only,"Reed Minerals, Inc.","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,189370,41,76366
103358,2013,Old Union,Alabama,Winston,Active,Surface,Independent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242", ,Appalachia Southern,284563,60,161805
5000030,2013,Usibelli,Alaska,Fairbanks North Star,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine I,"P.O. Box 1000, Healy, AK 99743",INTE,Western,1631584,125,286079
201195,2013,Kayenta Mine,Arizona,Navajo,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 650, Kayenta, AZ 86033",United Mine Workers of America,Western,7602722,405,1015333
301569,2013,Penny #1,Arkansas,Sebastian,Temporarily closed,Surface,Independent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936", ,Interior,3973,2,2790
301736,2013,Sebastian Mine,Arkansas,Sebastian,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Sebastian Management Llc,"P.O. Box 339, Hartford, AR 72938", ,Interior,54605,52,116473
504591,2013,Bowie No 2 Mine,Colorado,Delta,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Bowie Resources Llc,"P.O. Box 1488, Paonia, CO 81428", ,Uinta Region,3320696,365,760650
503672,2013,West Elk Mine,Colorado,Gunnison,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","P.O. Box 591, Somerset, CO 81434", ,Uinta Region,5826798,357,747608
504674,2013,Elk Creek Mine,Colorado,Gunnison,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,"Oxbow Mining, Llc","P.O. Box 535, Somerset, CO 81434", ,Uinta Region,436381,262,411836
504864,2013,King Ii,Colorado,La Plata,Active,Underground,Operating Subsidiary,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326", ,Western,734993,104,240773
504461,2013,New Elk Prep Plant,Colorado,Las Animas,"Active, men working, not producing",Underground,Independent Producer Operator,Preparation Plant,New Elk Coal Company Llc,"12250 Hwy 12, Weston, CO 81091", ,Western,0,18,33939
502838,2013,Trapper Mine,Colorado,Moffat,Active,Surface,Independent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,Uinta Region,1944633,183,349809
502962,2013,Colowyo Mine,Colorado,Moffat,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641", ,Uinta Region,2309118,243,485411
500299,2013,New Horizon Mine,Colorado,Montrose,Active,Surface,Operating Subsidiary,Mine only,"Western Fuels-Colorado, Llc","P.O. Box 628, Nucla, CO 81424",UNIT,Western,216486,27,51133
503505,2013,Deserado Mine,Colorado,Rio Blanco,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Blue Mountain Energy Inc,"3607 County Road #65, Rangely, CO 81648",UNIT,Uinta Region,1861494,164,324818
4801645,2013,Addcar System 18 Hwm Serial No,Colorado,Rio Blanco,Active,Surface,Independent Producer Operator,Mine only,Ugm Addcar Systems Llc,"No. 1 Hwm Drive, Ashland, KY 41102", ,Uinta Region,350060,17,35687
503836,2013,Foidel Creek Mine,Colorado,Routt,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Peabody Twentymile Mining Llc,"29515 Routt Cnty Rd#27, Oak Creek, CO 80467", ,Uinta Region,7235627,435,970682
1103189,2013,Mc#1 Mine,Illinois,Franklin,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"11351 N. Thompsonville Rd., Macedonia, IL 62860", ,Illinois Basin,6493536,244,586485
1103017,2013,Wildcat Hills Mine - Cottage G,Illinois,Gallatin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715", ,Illinois Basin,2016232,190,454881
1103203,2013,White Oak Mine No. 1,Illinois,Hamilton,Active,Underground,Independent Producer Operator,Mine only,White Oak Resources Llc,"P.O. Box 339, Mcleansboro, IL 62859", ,Illinois Basin,185566,104,218915
1103242,2013,Alliance Wor Processing,Illinois,Hamilton,Active,Underground,Independent Producer Operator,Preparation Plant,Alliance Wor Processing,"Rt. 1,  Bocx 184-B, Dahlgren, IL 62828", ,Illinois Basin,0,11,17414
1103020,2013,Creek Paum Mine,Illinois,Jackson,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Knight Hawk Coal Llc,"500 Cuttler-Trico Road, Percy, IL 62272", ,Illinois Basin,35522,8,16327
1103140,2013,Cora Terminal,Illinois,Jackson,Temporarily closed,Surface,Independent Producer Operator,Preparation Plant,Kinder Morgan Operating Lp B,"262 Cora Road, Rockwood, IL 62280",International Union of Operation Engineers,Illinois Basin,0,34,49443
1100726,2013,Shay #1 Mine,Illinois,Macoupin,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Maryan Mining Llc,"14300 Brushy Mound Rd, Carlinville, IL 62626", ,Illinois Basin,739514,59,128506
1102632,2013,Crown Iii Mine,Illinois,Macoupin,"Active, men working, not producing",Underground,Contractor,Mine and Preparation Plant,Springfield Coal Company Llc,"3008 Happy Landing Drive, Springfield, IL 62711",United Mine Workers of America,Illinois Basin,930272,192,417291
1103182,2013,Deer Run Mine,Illinois,Montgomery,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Patton Mining Llc,"211 N Broadway,ste 2600, St. Louis, MO 63102", ,Illinois Basin,4845308,162,368011
1103045,2013,Red Hawk,Illinois,Perry,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,539118,38,86679
1103143,2013,Prairie Eagle,Illinois,Perry,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,158575,20,52614
1103143,2013,Prairie Eagle,Illinois,Perry,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,0,18,38430
1103147,2013,Prairie Eagle-Underground,Illinois,Perry,Active,Underground,Independent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Rd, Percy, IL 62272", ,Illinois Basin,2274984,169,376225
1103205,2013,Prairie Eagle South Undergroun,Illinois,Perry,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,491476,45,65811
1103241,2013,Jordan,Illinois,Perry,Active,Surface,Independent Producer Operator,Mine only,"Elk Land Holdings, Llc","2206 Samuel Stuart Ct., Chesterfield, MO 63005", ,Illinois Basin,23557,4,7372
1103254,2013,Fidelity Mine,Illinois,Perry,"Active, men working, not producing",Surface,Operating Subsidiary,Mine and Preparation Plant,"Energy Recovery, Llc","P.O. Box 483, Benton, IL 62812", ,Illinois Basin,0,1,300
1102408,2013,Gateway Mine,Illinois,Randolph,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715", ,Illinois Basin,2834382,214,436005
1102546,2013,Preparation Plant,Illinois,Randolph,Active,Underground,Independent Producer Operator,Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 397, Coulterville, IL 62237", ,Illinois Basin,0,29,67372
1103226,2013,Hawkeye Mine,Illinois,Randolph,Active,Surface,Independent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,340077,21,48306
1103248,2013,Black Hawk,Illinois,Randolph,Active,Surface,Independent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler/Trico Road, Percy, IL 62272", ,Illinois Basin,640865,27,56975
1103225,2013,Kinder Morgan Cahokia Terminal,Illinois,St Clair,Active,Surface,Independent Producer Operator,Preparation Plant,"Kinder Morgan Operating Lp, C","#2 Monsanto Avenute, Sauget, IL 62201", ,Illinois Basin,0,22,46842
1103225,2013,Kinder Morgan Cahokia Terminal,Illinois,St Clair,Active,Underground,Independent Producer Operator,Preparation Plant,"Kinder Morgan Operating Lp, C","#2 Monsanto Avenute, Sauget, IL 62201", ,Illinois Basin,0,21,46841
1102752,2013,The American Coal Company New,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The American Coal Company,"P.O. Box 727, Harrisburg, IL 62946", ,Illinois Basin,4419659,606,1442872
1103099,2013,Willow Lake Central Preparatio,Illinois,Saline,Active,Surface,Operating Subsidiary,Preparation Plant,Big Ridge Inc,"420 Long Lane Road, Equality, IL 62934",UNIT,Illinois Basin,0,9,19621
1103099,2013,Willow Lake Central Preparatio,Illinois,Saline,Active,Underground,Operating Subsidiary,Preparation Plant,Big Ridge Inc,"420 Long Lane Road, Equality, IL 62934",UNIT,Illinois Basin,0,15,34881
1103156,2013,Wildcat Hills Mine-Underground,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crst Blvd, #100, Evansville, IN 47715", ,Illinois Basin,1579031,233,551324
1103212,2013,Eagle River Coal Llc Mine No 1,Illinois,Saline,Active,Surface,Independent Producer Operator,Mine only,Eagle River Coal Llc,"29 W. Raymond St, Harrisburg, IL 62946", ,Illinois Basin,694608,50,121765
1103232,2013,New Future Mine,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The American Coal Company,"P.O. Box 727, Harrisburg, IL 62946", ,Illinois Basin,5450222,354,839778
1102664,2013,Viper Mine,Illinois,Sangamon,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Icg Illinois, Llc","5945 Lester Road, Williamsville, IL 62693", ,Illinois Basin,2281446,311,617035
1103064,2013,Friendsville Mine,Illinois,Wabash,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Friendsville Mine Llc,"528 Main St. Ste 202, Evansville, IN 47708", ,Illinois Basin,1252092,80,194217
1103193,2013,Lively Grove Mine,Illinois,Washington,Active,Underground,Independent Producer Operator,Mine only,Prairie State Generating Compa,"4274 County Hwy 12, Marissa, IL 62257", ,Illinois Basin,4629720,374,808421
1103058,2013,Pattiki,Illinois,White,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"White County Coal, Llc","P.O. Box 457, Carmi, IL 62821", ,Illinois Basin,2596801,322,805720
1103141,2013,Mach #1 Mine,Illinois,Williamson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Mach Mining Llc,"P.O. Box 300, Johnston City, IL 62951", ,Illinois Basin,6694630,177,448008
1202397,2013,Brc Chinook Llc,Indiana,Clay,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,Brc Chinook Llc,"3589 N County Rd 500 W, Brazil, IN 47834", ,Illinois Basin,0,8,18515
1202460,2013,Ace In The Hole,Indiana,Clay,Active,Surface,Independent Producer Operator,Mine only,"Sunrise Coal, Llc","1183 E Canvasback Dr, Terre Haute, IN 47802", ,Illinois Basin,119886,9,23331
1201732,2013,Craney Mine,Indiana,Daviess,Temporarily closed,Surface,Independent Producer Operator,Preparation Plant,Solar Sources Inc,"Post Office Box 7, Petersburg, IN 47567", ,Illinois Basin,0,10,22676
1201946,2013,Viking Mine - Corning Pit,Indiana,Daviess,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 28, Montgomery, IN 47558", ,Illinois Basin,1114914,109,253534
1202372,2013,Antioch Mine,Indiana,Daviess,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Solar Sources, Inc.","P.O. Box 7, Petersburg, IN 47567", ,Illinois Basin,991309,83,205212
1202374,2013,Shamrock Mine,Indiana,Dubois,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Solar Sources, Inc.","625 N. Ninth St., Petersburg, IN 47567", ,Illinois Basin,1159798,105,258962
1202147,2013,Francisco Mine,Indiana,Gibson,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd. Ste 100, Evansville, IN 47715", ,Illinois Basin,0,40,85658
1202207,2013,Somerville,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,United Minerals Co Llc,"P.O. Box 400, Huntingburg, IN 47542", ,Illinois Basin,587931,34,102642
1202215,2013,Gibson Mine,Indiana,Gibson,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Gibson County Coal Llc,"P.O. Box 1269, Princeton, IN 47670", ,Illinois Basin,3938521,357,928889
1202258,2013,Somerville Central Mine,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd  Ste 100, Evansville, IN 47715", ,Illinois Basin,2607983,175,425477
1202295,2013,Francisco Underground Pit,Indiana,Gibson,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","P.O. Box 347, Francisco, IN 47649", ,Illinois Basin,2914792,287,646505
1202325,2013,Hurricane Creek,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc,"14521 E St Rd 58, Edwardsport, IN 47528", ,Illinois Basin,234638,18,45764
1202097,2013,Switz City,Indiana,Greene,Active,Surface,Operating Subsidiary,Preparation Plant,Triad Mining Inc,"14521 W State Road 58, Edwardsport, IN 47528", ,Illinois Basin,0,2,5102
1202167,2013,Freelandville Mine,Indiana,Knox,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528", ,Illinois Basin,130715,23,54455
1202167,2013,Freelandville Mine,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528", ,Illinois Basin,0,12,26805
1202316,2013,Freelandville Underground,Indiana,Knox,Permanently abandoned,Underground,Independent Producer Operator,Mine only,"Triad Underground Mining, L.L.","14972 East S.R. 58, Edwardsport, IN 47528", ,Illinois Basin,16273,15,7359
1202339,2013,Freelandville East,Indiana,Knox,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528", ,Illinois Basin,414810,25,53907
1202394,2013,Oaktown Fuels Mine No 1,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Black Panther Mining Llc,"12661 N. Agricare Road, Oaktown, IN 47561", ,Illinois Basin,3376144,290,741289
1202418,2013,Oaktown Fuels Mine No 2,Indiana,Knox,Active,Underground,Independent Producer Operator,Mine only,Black Panther Mining Llc,"12661 N. Agricare Road, Oaktown, IN 47561", ,Illinois Basin,1038597,71,175722
1202423,2013,Freelandville West Underground,Indiana,Knox,Active,Underground,Independent Producer Operator,Mine only,Triad Underground Mining L.L.C,"13333 E Hartsburg Rd, Edwardsport, IN 47528", ,Illinois Basin,598937,107,239158
1202462,2013,Oaktown Fuels Preparation Plan,Indiana,Knox,Active,Underground,Independent Producer Operator,Preparation Plant,Black Panther Mining Llc,"12661 Agricare Rd, Oaktown, IN 47561", ,Illinois Basin,0,59,118601
1200330,2013,Log Creek Loadout Facility,Indiana,Pike,Active,Surface,Operating Subsidiary,Preparation Plant,Triad Mining Inc.,"14521 E State Rd 58, Edwardsport, IN 47528", ,Illinois Basin,0,13,34097
1201978,2013,Solar Sources Preparation Plan,Indiana,Pike,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,Solar Sources Inc,"Post Office Box 7, Petersburg, IN 47567", ,Illinois Basin,0,9,23326
1202249,2013,Prosperity Mine,Indiana,Pike,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Five Star Mining Inc,"6594 W State Rd 56, Petersburg, IN 47567", ,Illinois Basin,1795632,375,1006312
1202368,2013,Charter #1,Indiana,Pike,Active,Surface,Independent Producer Operator,Preparation Plant,T & T Washing Co. Inc.,"P.O. Box 183, Madisonville, KY 42431", ,Illinois Basin,0,7,11773
1202410,2013,Log Creek Surface,Indiana,Pike,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc.,"14521 E. State Road 58, Edwardsport, IN 47528", ,Illinois Basin,940789,65,179183
1202433,2013,Hilsmeyer #2,Indiana,Pike,Active,Surface,Independent Producer Operator,Mine only,Loudermilk Contracting Inc.,"101 W. Main St., Jasonville, IN 47438", ,Illinois Basin,139790,17,29414
1202446,2013,Cardinal Mine,Indiana,Pike,Active,Surface,Independent Producer Operator,Mine only,"United Minerals Co, Llc","P.O. Box 400, Huntingburg, IN 47542", ,Illinois Basin,888785,30,87319
1202349,2013,Carlisle Mine,Indiana,Sullivan,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Sunrise Coal Llc,"1183 E Canvasback Dr, Terre Haute, IN 47802", ,Illinois Basin,0,0,562
1202349,2013,Carlisle Mine,Indiana,Sullivan,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Sunrise Coal Llc,"1183 E Canvasback Dr, Terre Haute, IN 47802", ,Illinois Basin,3136361,316,767024
1202422,2013,Bear Run Mine,Indiana,Sullivan,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Bear Run Mining Llc,"7255 East County Road 600s, Carlisle, IN 47838", ,Illinois Basin,8305079,598,1416810
